Metric,Count
Total Invocations,297
✅ Match (≥85%),132
⚠️ Partial (60–85%),31
❌ Mismatch (<60%),80
🔇 No Audio / Stub,54
#,Audio File,Chapter,Invocation Name,Better Invocation Name,Arabic (Data),STT Result,Score,Status
1,`/audios/001_01.mp3`,Upon Waking Up,Upon Waking Up (1),Praise for Life,(.الْحَمْدُ للَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا، وَإِلَيْهِ النُّشُورُ ),2. الحمد لله الذي أحيانا بعد ما أماتنا وإليه نشور,96.8%,✅ Match
2,`/audios/001_02.mp3`,Upon Waking Up,Upon Waking Up (2),Declaration of Oneness,لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَريكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ، وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ،,2. لا إله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير 3. سبحان الله والحمد لله ولا إله إلا الله والل,97.1%,✅ Match
3,`/audios/001_03.mp3`,Upon Waking Up,Upon Waking Up (3),Praise for Health,( الْحَمْدُ لِلَّهِ الَّذِي عَافَانِي فِي جَسَدِي، وَرَدَّ عَلَيَّ رُوحِي، وَأَذِنَ لي بِذِكْرِهِ ),الحمد لله الذي عافاني في جسدي ورد عليه روحي وأذن لي بذكره,97.4%,✅ Match
4,`/audios/001_04.mp3`,Upon Waking Up,Upon Waking Up (4),Creation of Heavens & Earth,﴿ إِنَّ فِي خَلْقِ السَّمَوَاتِ وَالأَرْضِ وَاخْتِلاَفِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لأُوْلِي الألْبَابِ * الَّذِينَ,2. بسم الله الرحمن الرحيم 3. إن في خلق السماوات والأرض واختلاف الليل والنهار لآيات لأولي الألباب 4. الذين يذكرون الله قي,52.9%,❌ Mismatch
5,`/audios/002_01.mp3`,Getting Dressed,Getting Dressed,Getting Dressed,(الْحَمْدُ للَّهِ الَّذِي كَسَانِي هَذَا (الثَّوْبَ) وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلاَ قُوَّة...),الحمد لله الذي كساني هذا الثوب ورزقنيه من غير حول مني ولا قوة,100.0%,✅ Match
6,`/audios/003_01.mp3`,New Clothes,New Clothes,New Clothes,( اللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ، وَأَعُوذُ بِكَ مِنْ,الله ملك الحمد أنتك سوتنيه أسألك من خيره وخير ما صني عليه وأعوذ بك من شره وشر ما صني عليه,92.0%,✅ Match
7,`/audios/004_01.mp3`,New Clothes (Others),New Clothes (Others) (1),May you wear it out...,(تُبْلِي وَيُخْلِفُ اللَّهُ تَعَالَى),تبلي ويخلف الله تعالى,100.0%,✅ Match
8,`/audios/004_02.mp3`,New Clothes (Others),New Clothes (Others) (2),"Wear anew, live commendably and...",(اِلْبَسْ جَدِيداً وَعِشْ حَمِيداً وَمُتْ شَهِيداً).,إلبس جديدًا وعش حميدًا ومتشهيدًا,94.9%,✅ Match
9,`/audios/005_01.mp3`,Undressing,Before Eating,Before Eating,(بِسْمِ اللَّهِ).,بسم الله,100.0%,✅ Match
10,`/audios/006_01.mp3`,Entering Restroom,Before Eating,Before Eating,([بِسْمِ اللَّهِ] اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبْثِ وَالْخَبائِث).,بسم الله اللهم إني أعوذ بك من الخبث والخبائف,97.7%,✅ Match
